2026-05-29 13:04 |  77 wpm |  99.0% |  30s | words |  78 raw | 2 err
2026-05-29 13:05 |  63 wpm |  95.9% |  60s | words |  63 raw | 13 err
2026-05-29 13:07 |  52 wpm |  97.7% |  60s | words |  52 raw | 6 err
2026-05-29 19:32 |  58 wpm |  98.3% |  60s | words |  58 raw | 5 err
2026-05-30 11:11 |  52 wpm |  91.9% |  60s | words |  52 raw | 21 err
2026-05-30 11:12 |  54 wpm |  96.3% |  60s | words |  54 raw | 10 err
2026-05-30 11:20 |  55 wpm |  97.5% |  60s | words |  56 raw | 7 err
2026-05-30 11:21 |  61 wpm |  97.7% |  60s | words |  61 raw | 7 err
2026-05-30 11:49 |  61 wpm |  97.7% |  60s | words |  61 raw | 7 err
2026-05-30 11:50 |  64 wpm |  99.1% |  60s | words |  64 raw | 3 err
2026-05-30 11:51 |  62 wpm |  98.7% |  60s | words |  62 raw | 4 err
